floor,total_area,living_area,kitchen_area,year,flat_status,flat_type,metro,metro_minutes,description,price
4,125.5,75.8,22.9,1876,1,4-комн,"Балтийская, Василеостровская, Нарвская",5,"старый фонд требует ремонта, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, четырёхкомнатная квартира премиум класса",24500000
3,41.5,26.4,6.0,1964,1,2-комн,"Московская, Бухарестская, Звездная",6,"старый фонд требует ремонта, небольшая кухня, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",6300000
3,80.39,44.9,10.2,2025,0,3-комн,"Василеостровская, Спортивная, Чкаловская",5,"новостройка с современной отделкой, кухня хорошей площади, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, просторная трёхкомнатная с двумя санузлами",30061520
4,65.1,27.0,19.0,1983,1,2-комн,"Улица Дыбенко, Проспект Большевиков, Ладожская",7,"типовая панельная застройка, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, просторная двухкомнатная квартира",11500000
10,38.5,16.6,10.5,2015,1,1-комн,"Девяткино, Гражданский проспект, Академическая",6,"дом 2000-х годов в хорошем состоянии, кухня хорошей площади, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",5599000
5,44.0,31.2,5.4,1968,1,2-комн,"Шушары, Дунайская, Обухово",18,"историческое здание сталинской постройки, небольшая кухня, средний этаж, большая жилая площадь, транспортная доступность на машине, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",4800000
3,32.62,15.1,10.7,2025,0,1-комн,"Купчино, Шушары, Московская",20,"новостройка с современной отделкой, кухня хорошей площади, средний этаж, транспортная доступность на машине, строящийся объект, сдача скоро, однокомнатная с балконом",6650043
12,62.8,30.9,10.5,2014,1,2-комн,"Приморская, Спортивная, Василеостровская",16,"современный монолитный дом, кухня хорошей площади, высокий этаж с видом на город, транспортная доступность на машине, дом сдан, заезжай и живи, просторная двухкомнатная квартира",18526000
2,98.2,55.6,17.6,2024,1,3-комн,"Площадь Ленина, Чернышевская, Новочеркасская",6,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",27800000
1,59.48,28.8,17.7,2025,0,2-комн,"Купчино, Шушары, Московская",20,"новый дом комфорт-класса, просторная кухня-гостиная, первый этаж без балкона, транспортная доступность на машине, строящийся объект, сдача скоро, просторная двухкомнатная квартира",12000446
5,149.8,98.0,15.0,2021,1,3-комн,"Чкаловская, Петроградская, Крестовский остров",10,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",82000000
3,253.0,147.0,41.0,2007,1,5-комн,"Крестовский остров, Чкаловская, Горьковская",5,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи",201765330
4,33.0,14.2,8.4,2017,1,1-комн,"Комендантский проспект, Удельная, Озерки",7,"современный монолитный дом, небольшая кухня, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",6750000
15,21.2,14.2,2.0,2021,1,Студия,"Девяткино, Гражданский проспект, Академическая",11,"новостройка с современной отделкой, небольшая кухня, высокий этаж с видом на город, большая жилая площадь, транспортная доступность на машине, дом сдан, заезжай и живи, уютная студия для молодой пары",3890000
5,35.7,14.5,9.0,2023,1,1-комн,"Проспект Просвещения, Озерки, Парнас",10,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, светлая однушка",5750000
3,119.1,61.7,25.8,2017,1,3-комн,"Крестовский остров, Чкаловская, Василеостровская",6,"улучшенная планировка, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",160000000
2,33.2,20.5,5.0,2022,1,Студия,"Кировский завод, Проспект Ветеранов, Ленинский проспект",16,"новостройка бизнес-класса, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, компактная студия евроремонт",7870875
17,157.4,50.7,37.3,2021,1,3-комн,"Пионерская, Площадь Мужества, Политехническая",5,"новостройка с современной отделкой, просторная кухня-гостиная, высокий этаж с видом на город, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",52995006
4,199.1,120.0,28.5,2008,1,3-комн,"Крестовский остров, Чкаловская, Спортивная",1,"современный монолитный дом, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",134990000
4,82.1,50.5,14.9,1898,1,3-комн,"Чернышевская, Площадь Восстания, Маяковская",7,"старый фонд требует ремонта, кухня хорошей площади, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",19000000
2,94.95,48.8,14.9,2025,0,3-комн,"Ладожская, Чернышевская, Площадь Восстания",6,"новостройка с современной отделкой, кухня хорошей площади, средний этаж, рядом с метро, строящийся объект, сдача скоро, трёхкомнатная квартира для большой семьи",38929500
11,113.0,52.0,20.0,2012,1,2-комн,"Чкаловская, Крестовский остров, Спортивная",19,"улучшенная планировка, просторная кухня-гостиная, высокий этаж с видом на город, транспортная доступность на машине, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",65000000
2,94.4,50.4,20.2,2023,1,3-комн,"Крестовский остров, Спортивная, Зенит",6,"новый дом комфорт-класса, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",34456000
9,59.92,28.0,18.0,2025,0,2-комн,"Московская, Ленинский проспект, Автово",2,"новостройка с современной отделкой, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, строящийся объект, сдача скоро, двушка с евроремонтом",18250463
4,55.1,23.2,17.6,2026,0,2-комн,"Проспект Просвещения, Озерки, Удельная",13,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, транспортная доступность на машине, строящийся объект, сдача скоро, двухкомнатная квартира раздельные комнаты",13800401
3,64.0,28.8,22.3,2012,1,3-комн,"Удельная, Пионерская, Комендантский проспект",7,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",20288000
3,146.0,90.0,14.0,2007,1,4-комн,"Крестовский остров, Чкаловская, Спортивная",2,"улучшенная планировка, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, многокомнатная квартира тихий центр",99900000
7,23.4,14.4,4.0,2006,1,Студия,"Электросила, Парк Победы, Московские ворота",4,"улучшенная планировка, небольшая кухня, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, компактная студия евроремонт",6800000
10,76.47,37.8,20.1,2025,0,2-комн,"Комендантский проспект, Озерки, Проспект Просвещения",6,"новостройка бизнес-класса, просторная кухня-гостиная, высокий этаж с видом на город, рядом с метро, строящийся объект, сдача скоро, двухкомнатная квартира раздельные комнаты",18350008
8,81.4,45.0,10.0,2012,1,3-комн,"Ленинский проспект, Проспект Ветеранов, Автово",16,"улучшенная планировка, кухня хорошей площади, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",13600000
3,19.73,12.0,4.0,2024,0,Студия,"Звездная, Ленинский проспект, Московская",5,"новый дом комфорт-класса, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, строящийся объект, сдача скоро, уютная студия для молодой пары",4968000
6,140.0,62.2,36.7,2022,1,3-комн,"Московская, Парк Победы, Ленинский проспект",5,"новостройка бизнес-класса, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",79380000
11,39.8,17.0,12.2,2025,0,1-комн,"Московская, Ленинский проспект, Автово",2,"новый дом комфорт-класса, кухня хорошей площади, высокий этаж с видом на город, в шаговой доступности от метро, строящийся объект, сдача скоро, однокомнатная квартира с хорошим ремонтом",11800242
5,85.89,35.1,22.3,2025,0,3-комн,"Черная речка, Лесная, Выборгская",5,"новостройка с современной отделкой, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, трёшка с хорошей планировкой",30735737
